Article,Point,Content
Art. 1,1,Pierwsze posiedzenie nowo wybranego Sejmu otwiera Marszałek-Senior powołany przez Prezydenta Rzeczypospolitej Polskiej spośród najstarszych wiekiem posłów.
Art. 1,2,Marszałek-Senior pełni funkcję do wyboru Marszałka Sejmu.
Art. 1,3,Podczas pierwszego posiedzenia Sejmu poseł zajmuje miejsce na sali obrad Sejmu według rozdziału miejsc ustalonego przez Marszałka-Seniora.
Art. 1,4,Przed wyborem Marszałka Sejmu mogą być rozpatrywane tylko wnioski formalne.
Art. 2,1,Posłowie na pierwszym posiedzeniu Sejmu składają ślubowanie według roty ustalonej w Konstytucji.
Art. 2,2,"Marszałek-Senior przeprowadza złożenie ślubowania poselskiego oraz wybór Marszałka Sejmu przy pomocy powołanych przez siebie w tym celu, spośród najmłodszych wiekiem posłów, sekretarzy tymczasowych w liczbie niezbędnej do dokonania tych czynności."
Art. 2,3,"Ślubowanie poselskie odbywa się w ten sposób, że po odczytaniu roty każdy z kolejno wywołanych posłów, powstawszy, wypowiada słowo ""ślubuję"". Poseł może dodać zdanie ""Tak mi dopomóż Bóg""."
Art. 2,4,"Posłowie nieobecni na posiedzeniu Sejmu oraz posłowie, którzy uzyskali mandat w czasie trwania kadencji, składają ślubowanie poselskie na pierwszym posiedzeniu, na którym są obecni."
Art. 4,1,Po złożeniu przez posłów ślubowania Marszałek-Senior przeprowadza wybór Marszałka Sejmu.
Art. 4,2,Kandydata na Marszałka Sejmu może zgłosić co najmniej 15 posłów. Poseł może poprzeć tylko jedną kandydaturę.
Art. 4,3,Sejm wybiera Marszałka Sejmu bezwzględną większością głosów w obecności co najmniej połowy ustawowej liczby posłów.
Art. 4,4,"Jeżeli zgłoszono więcej niż jednego kandydata, a w pierwszym głosowaniu żaden z kandydatów nie uzyskał bezwzględnej większości głosów, przed kolejnymi turami głosowania usuwa się z listy kandydatów nazwisko tego kandydata, który w poprzedniej turze uzyskał najmniejszą liczbę głosów. Jeżeli tę samą najmniejszą liczbę głosów uzyskało dwóch lub więcej kandydatów, przed kolejną turą głosowania usuwa się nazwiska tych kandydatów."
Art. 4,5,"Jeżeli w wyniku zastosowania procedury określonej w ust. 3 i 4 nie dojdzie do dokonania wyboru, wybór Marszałka Sejmu przeprowadza się ponownie."
Art. 5,1,Marszałek Sejmu obejmuje przewodnictwo obrad.
Art. 5,2,"Sejm, w drodze uchwały, ustala liczbę wicemarszałków."
Art. 5,3,Projekt uchwały może wnieść co najmniej 15 posłów.
Art. 5,4,Do projektu nie stosuje się przepisów o terminie wniesienia i doręczenia projektów. Projekt uchwały rozpatruje się w jednym czytaniu.
Art. 5,5,Marszałek Sejmu zarządza wybory wicemarszałków Sejmu.
Art. 5,6,Do wyboru wicemarszałków Sejmu stosuje się odpowiednio przepisy art. 4 ust. 2-5.
Art. 6,1,Sejm wybiera 20 sekretarzy Sejmu.
Art. 6,2,Kandydatów na sekretarzy Sejmu zgłasza Prezydium Sejmu.
Art. 6,3,"Wybór sekretarzy Sejmu odbywa się łącznie, chyba że Sejm postanowi inaczej."
Art. 6,4,Do odwołania sekretarza Sejmu stosuje się odpowiednio przepisy ust. 2 i 3.
Art. 6a,,W czasie pierwszego posiedzenia Sejmu ponadto Prezes Rady Ministrów składa dymisję Rady Ministrów.
Art. 6b. 1),,"Wygaśnięcie mandatu posła z powodu odmowy złożenia ślubowania albo uchylania się od złożenia ślubowania stwierdza Marszałek Sejmu po zasięgnięciu opinii Komisji Regulaminowej, Spraw Poselskich i Immunitetowych."
